ts_unix,iteration,kem_alg,sig_alg,hello_bytes,response_bytes,verify_time_ms,verify_ok,encaps_time_ms,receiver_total_ms,kem_pk_bytes,kem_ct_bytes,mem_recv_rss_kb,cpu_recv_user_ms,cpu_recv_sys_ms
1779643465.2299836,1,ML-KEM-512,ML-DSA-44,6199,1221,0.061611000091943424,1,0.06421899979613954,0.4226099999868893,800,768,24952,0.0,0.0
1779643465.2306235,2,ML-KEM-512,ML-DSA-44,6199,1221,0.02995999966515228,1,0.017365000076097203,0.15744700021969038,800,768,24952,0.0,0.0
1779643465.2310047,3,ML-KEM-512,ML-DSA-44,6199,1221,0.025998999717558036,1,0.01104200009649503,0.09179499966194271,800,768,24952,0.0,0.0
1779643465.231309,4,ML-KEM-512,ML-DSA-44,6199,1221,0.025269999696320156,1,0.01076500029739691,0.09014900024340022,800,768,24952,0.0,0.0
1779643465.231682,5,ML-KEM-512,ML-DSA-44,6199,1221,0.025607999759813538,1,0.011143999927298864,0.09109500024351291,800,768,24952,0.0,0.0
1779643465.2319841,6,ML-KEM-512,ML-DSA-44,6199,1221,0.025072999960684683,1,0.010462999853189103,0.08501000002070214,800,768,24952,0.0,0.0
1779643465.2323706,7,ML-KEM-512,ML-DSA-44,6199,1221,0.024934000066423323,1,0.010800999916682485,0.08840699956635945,800,768,24952,0.0,0.0
1779643465.232655,8,ML-KEM-512,ML-DSA-44,6199,1221,0.02476800000295043,1,0.010363000001234468,0.0841320002109569,800,768,24952,0.0,0.0
1779643465.2330365,9,ML-KEM-512,ML-DSA-44,6199,1221,0.02642399977048626,1,0.012132999927416677,0.0952339996729279,800,768,24952,0.0,0.0
1779643465.2334726,10,ML-KEM-512,ML-DSA-44,6200,1222,0.035773000035987934,1,0.014678000297863036,0.12300800017328584,800,768,24952,0.0,0.0
1779643465.2338545,11,ML-KEM-512,ML-DSA-44,6200,1222,0.034483000035834266,1,0.013772999864158919,0.1134510002884781,800,768,24952,0.0,0.0
1779643465.2343316,12,ML-KEM-512,ML-DSA-44,6200,1222,0.03466199996182695,1,0.0149670004248037,0.1272320000680338,800,768,24952,0.0,0.0
1779643465.2347915,13,ML-KEM-512,ML-DSA-44,6200,1222,0.032807000025059097,1,0.014387999726750422,0.11525799982337048,800,768,24952,0.0,0.0
1779643465.2352495,14,ML-KEM-512,ML-DSA-44,6200,1222,0.03258200013078749,1,0.013141000181349227,0.10901099994953256,800,768,24952,0.0,0.0
1779643465.2356791,15,ML-KEM-512,ML-DSA-44,6200,1222,0.0295449999612174,1,0.012261999927432043,0.10333199998058262,800,768,24952,0.0,0.0
1779643465.2360415,16,ML-KEM-512,ML-DSA-44,6200,1222,0.02943800018329057,1,0.011862000064866152,0.09788300030777464,800,768,24952,0.0,0.0
1779643465.2365017,17,ML-KEM-512,ML-DSA-44,6200,1222,0.029164000352466246,1,0.01187999987450894,0.10031800002252567,800,768,24952,0.0,0.0
1779643465.2368338,18,ML-KEM-512,ML-DSA-44,6200,1222,0.027829999908135505,1,0.011271999937889632,0.09324599977844628,800,768,24952,0.0,0.0
1779643465.2372,19,ML-KEM-512,ML-DSA-44,6200,1222,0.029842999992979458,1,0.010976999874401372,0.09468999996897765,800,768,24952,0.0,0.0
1779643465.237536,20,ML-KEM-512,ML-DSA-44,6200,1222,0.02712400009841076,1,0.011635000191745348,0.09434200001123827,800,768,24952,0.0,0.0
