ts_unix,alg_family,sig_alg,kem_alg,seq,nonce,hello_stanza_bytes,response_stanza_bytes,kem_keygen_time_ms,sign_time_ms,serialize_time_ms,decaps_time_ms,rtt_ms,sender_total_ms,shared_secret_match,ok,verify_mode,cert_fingerprint_sha256,cert_bytes,kem_pk_bytes,kem_ct_bytes,mem_rss_kb,cpu_user_ms,cpu_sys_ms
1779643479.3507435,ML-DSA,ML-DSA-65,ML-KEM-768,15,ML-DSA-15-1779643479277255961,10846,2024,0.12002299990854226,0.21633300002577016,0.1718309999887424,0.17750500001056935,71.25381000014386,73.36352399988755,1,1,cert,3bf9e6de7c006f2fc44a0627f28db2e26c0f4e0662978eb0091463d71e135510,4275,1184,1088,45836,0.0,0.0
1779643479.4680164,ML-DSA,ML-DSA-65,ML-KEM-768,16,ML-DSA-16-1779643479401612970,10846,2024,0.29668599972865195,0.9110089999921911,0.8482999996886065,0.053837999985262286,62.18924000040715,66.35287900007825,1,1,cert,3bf9e6de7c006f2fc44a0627f28db2e26c0f4e0662978eb0091463d71e135510,4275,1184,1088,45836,0.0,0.0
1779643479.587574,ML-DSA,ML-DSA-65,ML-KEM-768,17,ML-DSA-17-1779643479518717384,10846,2024,0.5657080000673886,1.103458000216051,0.583738000386802,0.05922499985899776,64.5849300003647,68.7982889999148,1,1,cert,3bf9e6de7c006f2fc44a0627f28db2e26c0f4e0662978eb0091463d71e135510,4275,1184,1088,45836,10.000000000000009,0.0
1779643479.706232,ML-DSA,ML-DSA-65,ML-KEM-768,18,ML-DSA-18-1779643479638331245,10846,2024,0.1978870000129973,1.1580049999793118,0.5959109998912027,0.15973800009305705,63.96051499996247,67.79259599989018,1,1,cert,3bf9e6de7c006f2fc44a0627f28db2e26c0f4e0662978eb0091463d71e135510,4275,1184,1088,45836,0.0,0.0
1779643479.8229167,ML-DSA,ML-DSA-65,ML-KEM-768,19,ML-DSA-19-1779643479756988312,10846,2024,0.1966730001186079,0.39149099984570057,0.760345999879064,0.03195299996150425,63.07520299969838,65.89012399990679,1,1,cert,3bf9e6de7c006f2fc44a0627f28db2e26c0f4e0662978eb0091463d71e135510,4275,1184,1088,45836,0.0,0.0
1779643479.9483001,ML-DSA,ML-DSA-65,ML-KEM-768,20,ML-DSA-20-1779643479873716391,10846,2024,0.2817610002239235,0.5456379999486671,0.4614290000972687,0.06509399963761098,71.03196799971556,74.51748599987695,1,1,cert,3bf9e6de7c006f2fc44a0627f28db2e26c0f4e0662978eb0091463d71e135510,4275,1184,1088,45836,0.0,0.0
1779643480.084438,ML-DSA,ML-DSA-65,ML-KEM-768,21,ML-DSA-21-1779643479999448735,10846,2024,0.27062299977842486,0.6733679997523723,0.9261579998565139,0.20692300040536793,79.11600999977964,84.58101900032489,1,1,cert,3bf9e6de7c006f2fc44a0627f28db2e26c0f4e0662978eb0091463d71e135510,4275,1184,1088,45836,0.0,0.0
1779643480.2219195,ML-DSA,ML-DSA-65,ML-KEM-768,22,ML-DSA-22-1779643480135063919,10846,2024,0.30833200025881524,1.8166869999731716,0.9701490002953506,0.12182900036350475,81.42146599993794,86.80163299959531,1,1,cert,3bf9e6de7c006f2fc44a0627f28db2e26c0f4e0662978eb0091463d71e135510,4275,1184,1088,45836,10.000000000000009,0.0
1779643480.3512304,ML-DSA,ML-DSA-65,ML-KEM-768,23,ML-DSA-23-1779643480272561498,10846,2024,0.39936799976203474,0.6264869998631184,1.275206000173057,0.23073800002748612,73.3425990001706,78.5276939996038,1,1,cert,3bf9e6de7c006f2fc44a0627f28db2e26c0f4e0662978eb0091463d71e135510,4275,1184,1088,45836,10.000000000000009,0.0
1779643480.471827,ML-DSA,ML-DSA-65,ML-KEM-768,24,ML-DSA-24-1779643480402120829,10846,2024,0.16327499997714767,0.6543950003106147,0.5797669996354671,0.11443999983384856,66.81098799981555,69.62537000026714,1,1,cert,3bf9e6de7c006f2fc44a0627f28db2e26c0f4e0662978eb0091463d71e135510,4275,1184,1088,45836,0.0,0.0
1779643480.5834641,ML-DSA,ML-DSA-65,ML-KEM-768,25,ML-DSA-25-1779643480522832861,10846,2024,0.06035499973222613,0.19681200001286925,0.1802210003916116,0.05941800009168219,59.47225799991429,60.57675800002471,1,1,cert,3bf9e6de7c006f2fc44a0627f28db2e26c0f4e0662978eb0091463d71e135510,4275,1184,1088,45836,0.0,0.0
1779643480.6943002,ML-DSA,ML-DSA-65,ML-KEM-768,26,ML-DSA-26-1779643480633849584,10846,2024,0.08776899994700216,0.1936409998961608,0.23661699970034533,0.04391800030134618,59.17087599982551,60.4069129999516,1,1,cert,3bf9e6de7c006f2fc44a0627f28db2e26c0f4e0662978eb0091463d71e135510,4275,1184,1088,45836,0.0,0.0
1779643480.8168201,ML-DSA,ML-DSA-65,ML-KEM-768,27,ML-DSA-27-1779643480744971734,10846,2024,0.17308299993601395,0.8100089999061311,0.2325690002180636,0.24538099978599348,68.59661199996481,71.76725299996178,1,1,cert,3bf9e6de7c006f2fc44a0627f28db2e26c0f4e0662978eb0091463d71e135510,4275,1184,1088,45836,0.0,0.0
1779643480.9341488,ML-DSA,ML-DSA-65,ML-KEM-768,28,ML-DSA-28-1779643480867559413,10846,2024,0.24852500018823775,0.4367379997347598,0.9246189997611509,0.047682000058557605,63.572993999969185,66.53979500015339,1,1,cert,3bf9e6de7c006f2fc44a0627f28db2e26c0f4e0662978eb0091463d71e135510,4275,1184,1088,45836,0.0,0.0
1779643481.0547051,ML-DSA,ML-DSA-65,ML-KEM-768,29,ML-DSA-29-1779643480984637074,10846,2024,0.34582900025270646,0.5438729999696079,0.3736039998329943,0.09314800036008819,67.16614800006937,69.99292800037438,1,1,cert,3bf9e6de7c006f2fc44a0627f28db2e26c0f4e0662978eb0091463d71e135510,4275,1184,1088,45836,0.0,0.0
1779643481.1789331,ML-DSA,ML-DSA-65,ML-KEM-768,30,ML-DSA-30-1779643481105226877,10846,2024,0.19408800017117755,0.8587339998484822,0.47527799961244455,0.13832000013280776,70.4968730001383,73.6241429999609,1,1,cert,3bf9e6de7c006f2fc44a0627f28db2e26c0f4e0662978eb0091463d71e135510,4275,1184,1088,45836,0.0,0.0
1779643481.463788,SPHINCS,SPHINCS+-SHA2-128s-simple,ML-KEM-768,1,SPHINCS-1-1779643481229985578,13518,2024,0.16870599984031287,160.83856199975344,0.21918300035395077,0.10946000020339852,71.19969599989417,233.73151200030406,1,1,cert,8e746bd315492890ea5b1a893afbe1b29c980b1928ac8e86e862526afb57ba0c,867,1184,1088,45836,159.99999999999997,0.0
1779643481.7803948,SPHINCS,SPHINCS+-SHA2-128s-simple,ML-KEM-768,2,SPHINCS-2-1779643481514807468,13518,2024,0.30042700018384494,188.17705000037677,0.15935999999783235,0.24910499996622093,74.3491019998146,265.45981199978996,1,1,cert,8e746bd315492890ea5b1a893afbe1b29c980b1928ac8e86e862526afb57ba0c,867,1184,1088,45836,190.00000000000006,0.0
1779643482.0298944,SPHINCS,SPHINCS+-SHA2-128s-simple,ML-KEM-768,3,SPHINCS-3-1779643481831037340,13518,2024,0.050429000111762434,129.7014910001053,0.17600699993636226,0.10059900023406954,68.02624400006607,198.782396000297,1,1,cert,8e746bd315492890ea5b1a893afbe1b29c980b1928ac8e86e862526afb57ba0c,867,1184,1088,45836,130.0,0.0
1779643482.29273,SPHINCS,SPHINCS+-SHA2-128s-simple,ML-KEM-768,4,SPHINCS-4-1779643482082028716,13518,2024,0.2710140001909167,141.42455399996834,0.18011500014836201,0.05488600027092616,67.1423290000348,210.65009999983886,1,1,cert,8e746bd315492890ea5b1a893afbe1b29c980b1928ac8e86e862526afb57ba0c,867,1184,1088,45836,140.0,0.0
1779643482.5584528,SPHINCS,SPHINCS+-SHA2-128s-simple,ML-KEM-768,5,SPHINCS-5-1779643482343999911,13518,2024,0.11876400003529852,147.12910600019313,0.19948299996030983,0.10627800020301947,65.83287299963558,214.37488099991242,1,1,cert,8e746bd315492890ea5b1a893afbe1b29c980b1928ac8e86e862526afb57ba0c,867,1184,1088,45836,139.99999999999991,0.0
1779643482.8563488,SPHINCS,SPHINCS+-SHA2-128s-simple,ML-KEM-768,6,SPHINCS-6-1779643482610004938,13518,2024,0.17908400013766368,176.54576799986899,0.17723099972499767,0.0609490002716484,68.56306200006657,246.2916449999284,1,1,cert,8e746bd315492890ea5b1a893afbe1b29c980b1928ac8e86e862526afb57ba0c,867,1184,1088,45836,180.00000000000017,0.0
