ts_unix,alg_family,alg_name,alg_type,iteration,keygen_time_ms,sign_time_ms,verify_time_ms,sig_bytes,pk_bytes,verify_ok
1779465917.4148152,RSA,RSA-2048,classical,1,95.88311200059252,1.8368000000918983,0.04457400063984096,256,294,1
1779465917.4343271,RSA,RSA-2048,classical,2,18.312800999410683,0.7354859999395558,0.03776799985644175,256,294,1
1779465917.496446,RSA,RSA-2048,classical,3,61.27777399979095,0.7540779997725622,0.037167000300541986,256,294,1
1779465917.522693,RSA,RSA-2048,classical,4,25.44061899970984,0.7332530003623106,0.042407999899296556,256,294,1
1779465917.5466642,RSA,RSA-2048,classical,5,23.180084999694373,0.7340790007219766,0.03176500013069017,256,294,1
1779465917.5733516,RSA,RSA-2048,classical,6,25.874953000311507,0.7551050002803095,0.03365900010976475,256,294,1
1779465917.5956893,RSA,RSA-2048,classical,7,21.538007999879483,0.7408210003632121,0.0350499994965503,256,294,1
1779465917.6072042,RSA,RSA-2048,classical,8,10.707123999964097,0.7534180003858637,0.030651000088255387,256,294,1
1779465917.6424005,RSA,RSA-2048,classical,9,34.36236299967277,0.7680990001972532,0.03260299945395673,256,294,1
1779465917.6577258,RSA,RSA-2048,classical,10,14.428786000280525,0.7958790001794114,0.03816900061792694,256,294,1
1779465917.708572,RSA,RSA-2048,classical,11,49.97539299984055,0.7659980001335498,0.03611900046962546,256,294,1
1779465917.7326708,RSA,RSA-2048,classical,12,23.26993700080493,0.7372810005108477,0.03710300006787293,256,294,1
1779465917.7614582,RSA,RSA-2048,classical,13,27.99410599982366,0.7300800007215003,0.03182900036335923,256,294,1
1779465917.7970638,RSA,RSA-2048,classical,14,34.820687000319595,0.7258190007632948,0.034719000723271165,256,294,1
1779465917.840238,RSA,RSA-2048,classical,15,42.398182000397355,0.7212199998321012,0.03133300015178975,256,294,1
1779465917.8589532,RSA,RSA-2048,classical,16,17.911676000039733,0.7450159992004046,0.03612600085034501,256,294,1
1779465917.873389,RSA,RSA-2048,classical,17,13.628635000713984,0.7473109999409644,0.032779999855847564,256,294,1
1779465917.9102862,RSA,RSA-2048,classical,18,36.108188000071095,0.7330879998335149,0.030622999474871904,256,294,1
1779465917.9739661,RSA,RSA-2048,classical,19,62.86253400048736,0.7289650002348935,0.034188999961770605,256,294,1
