ts_unix,iteration,kem_alg,sig_alg,hello_bytes,response_bytes,kem_keygen_ms,sig_keygen_ms,sign_time_ms,decaps_time_ms,sender_total_ms,shared_secret_match,kem_pk_bytes,mem_send_rss_kb,cpu_send_user_ms,cpu_send_sys_ms
1779643465.229981,1,ML-KEM-512,ML-DSA-44,6199,1221,1.0134220001418726,0.13954400037619052,0.13761299987891107,0.03401200001462712,2.3050549998515635,1,800,24952,0.0,0.0
1779643465.2306225,2,ML-KEM-512,ML-DSA-44,6199,1221,0.030207000236259773,0.06982100012464798,0.05961300030321581,0.012029000117763644,0.5307659998834424,1,800,24952,0.0,0.0
1779643465.231004,3,ML-KEM-512,ML-DSA-44,6199,1221,0.011051000001316424,0.023438999960490037,0.10133399973710766,0.010610000117594609,0.3266740000071877,1,800,24952,0.0,0.0
1779643465.2313082,4,ML-KEM-512,ML-DSA-44,6199,1221,0.009695999779069098,0.022881999939272646,0.04356800036475761,0.010279999969498022,0.25852900034806225,1,800,24952,0.0,0.0
1779643465.2316813,5,ML-KEM-512,ML-DSA-44,6199,1221,0.013914999726694077,0.02385100015089847,0.042952000057994155,0.010534000011830358,0.27388699982111575,1,800,24952,0.0,0.0
1779643465.2319834,6,ML-KEM-512,ML-DSA-44,6199,1221,0.009754000075190561,0.02247100019303616,0.04829599993172451,0.01036000003296067,0.25545700009388383,1,800,24952,0.0,0.0
1779643465.2323701,7,ML-KEM-512,ML-DSA-44,6199,1221,0.011936999726458453,0.023090000013326062,0.10005700005422113,0.010623999969539,0.32105300033435924,1,800,24952,0.0,0.0
1779643465.2326546,8,ML-KEM-512,ML-DSA-44,6199,1221,0.009465000402997248,0.02234900011899299,0.03298399997220258,0.010514000223338371,0.24026799974308233,1,800,24952,0.0,0.0
1779643465.2330358,9,ML-KEM-512,ML-DSA-44,6199,1221,0.013306000255397521,0.023658999907638645,0.053713999932369916,0.011642999652394792,0.28976299972782726,1,800,24952,0.0,0.0
1779643465.2334714,10,ML-KEM-512,ML-DSA-44,6200,1222,0.01034400020216708,0.03520400014167535,0.08703699995749048,0.01546400017105043,0.38155299989739433,1,800,24952,0.0,0.0
1779643465.2338536,11,ML-KEM-512,ML-DSA-44,6200,1222,0.012590000096679432,0.030774000151723158,0.045079000301484484,0.014045999705558643,0.32228800000666524,1,800,24952,9.999999999999995,0.0
1779643465.234331,12,ML-KEM-512,ML-DSA-44,6200,1222,0.01354000005449052,0.030712999887327896,0.09548300022288458,0.013891999969928293,0.4156999998485844,1,800,24952,0.0,0.0
1779643465.2347906,13,ML-KEM-512,ML-DSA-44,6200,1222,0.01769700020304299,0.030154000342008658,0.06541099992318777,0.014116999864199897,0.3546180000739696,1,800,24952,0.0,0.0
1779643465.2352488,14,ML-KEM-512,ML-DSA-44,6200,1222,0.012913999853481073,0.02958999994007172,0.1249939996341709,0.013833000139129581,0.3972240001530736,1,800,24952,0.0,0.0
1779643465.2356784,15,ML-KEM-512,ML-DSA-44,6200,1222,0.01155199970526155,0.027160000172443688,0.12674800018430687,0.012216999948577723,0.37501599990719114,1,800,24952,0.0,0.0
1779643465.2360406,16,ML-KEM-512,ML-DSA-44,6200,1222,0.011051999990741024,0.026150999929086538,0.050954000016645296,0.012196000170661137,0.30206599967641523,1,800,24952,0.0,0.0
1779643465.2365012,17,ML-KEM-512,ML-DSA-44,6200,1222,0.014858999747957569,0.026639000225259224,0.112201999854733,0.013885000043956097,0.3651780002655869,1,800,24952,0.0,0.0
1779643465.236833,18,ML-KEM-512,ML-DSA-44,6200,1222,0.010852000286831753,0.02504399981262395,0.04832600006920984,0.011588000234041829,0.27944700013904367,1,800,24952,0.0,0.0
1779643465.2371995,19,ML-KEM-512,ML-DSA-44,6200,1222,0.010507999832043424,0.024360000224987743,0.08600599994679214,0.011203999747522175,0.3146670001115126,1,800,24952,0.0,0.0
