ts_unix,from,msg_id,alg,stanza_bytes,body_bytes,pk_b64_bytes,sig_b64_bytes,deserialize_time_ms,verify_time_ms,verify_ok,cpu_user_ms,cpu_sys_ms,mem_rss_kb
1779643431.6859632,emisor@localhost/Lk3_ZuTqqdjC,349c1ff154164d40baeb47f165cbfe55,ML-DSA-65,7405,34,2604,4412,0.0026200000320386607,0.0633469999229419,1,0.0,0.0,34788
1779643431.7500126,emisor@localhost/Lk3_ZuTqqdjC,d1fa08e9452644dc98230bfc56375e58,ML-DSA-65,7405,34,2604,4412,0.007335000191233121,0.23369400014416897,1,0.0,0.0,34788
1779643431.8105438,emisor@localhost/Lk3_ZuTqqdjC,81df05b3439c40d495d0f6f6f6128c48,ML-DSA-65,7405,34,2604,4412,0.003788999947573757,0.12753600003634347,1,0.0,0.0,34788
1779643431.8749647,emisor@localhost/Lk3_ZuTqqdjC,7b0ae2970ba74ca194d95d15b0eab36d,ML-DSA-65,7405,34,2604,4412,0.006504999873868655,0.20588100005625165,1,0.0,0.0,34788
1779643431.9365149,emisor@localhost/Lk3_ZuTqqdjC,6b34f7464f2a4c0ebee8826237786e4b,ML-DSA-65,7405,34,2604,4412,0.005074999990029028,0.2009280001402658,1,0.0,0.0,34788
1779643432.0006547,emisor@localhost/Lk3_ZuTqqdjC,4865158bc5594867b33dd9721940faee,ML-DSA-65,7405,34,2604,4412,0.005231000159255927,0.1608259999557049,1,0.0,0.0,34788
1779643432.062947,emisor@localhost/Lk3_ZuTqqdjC,39a4644bcd5a493fa462f42440559451,ML-DSA-65,7405,34,2604,4412,0.005931000032433076,0.17330999980913475,1,0.0,0.0,34788
1779643432.1279767,emisor@localhost/Lk3_ZuTqqdjC,ba33b9a16c4147be937d3b543a6f5297,ML-DSA-65,7405,34,2604,4412,0.005553999926632969,0.16809699991426896,1,0.0,0.0,34788
1779643432.1893787,emisor@localhost/Lk3_ZuTqqdjC,fcd14cb14c6f438984fb25cc9e12c4e8,ML-DSA-65,7405,34,2604,4412,0.0021490000108315144,0.06245599979592953,1,0.0,0.0,34788
1779643432.2537131,emisor@localhost/Lk3_ZuTqqdjC,63ad06fa2a454fc0bc82eaa48442897f,ML-DSA-65,7405,34,2604,4412,0.00455999997939216,0.10586799999146024,1,0.0,0.0,34788
1779643432.3123834,emisor@localhost/Lk3_ZuTqqdjC,4cff6a0294e646f6985c8009e468959f,ML-DSA-65,7405,34,2604,4412,0.0021010000637033954,0.0606389999120438,1,0.0,0.0,34788
1779643432.370978,emisor@localhost/Lk3_ZuTqqdjC,216f012f5d994f41bb06d895b638403c,ML-DSA-65,7405,34,2604,4412,0.0021410000954347197,0.0588560001233418,1,0.0,0.0,34788
1779643432.4303448,emisor@localhost/Lk3_ZuTqqdjC,0f32e111ae114a78990af5d5adb2cd36,ML-DSA-65,7405,34,2604,4412,0.003654000011010794,0.4182349998700374,1,0.0,0.0,34788
1779643432.496674,emisor@localhost/Lk3_ZuTqqdjC,09da9fa003a64ee199f5632e50c5b147,ML-DSA-65,7405,34,2604,4412,0.004609999905369477,0.15123899993341183,1,0.0,0.0,34788
1779643432.5569339,emisor@localhost/Lk3_ZuTqqdjC,de53516272e64b1a8e631eb234df9c9e,ML-DSA-65,7405,34,2604,4412,0.0036650003494287375,0.1023619997795322,1,0.0,0.0,34788
1779643432.6201274,emisor@localhost/Lk3_ZuTqqdjC,d77303f12e8a41efa320a8402e3aca33,ML-DSA-65,7405,34,2604,4412,0.0053790004130860325,0.459393000255659,1,0.0,0.0,34788
1779643432.6902802,emisor@localhost/Lk3_ZuTqqdjC,17c4fda1120d4682b974d39f392fa299,ML-DSA-65,7405,34,2604,4412,0.005088999841973418,0.16251599981842446,1,0.0,0.0,34788
1779643432.754348,emisor@localhost/Lk3_ZuTqqdjC,49c3174c4464429ca8ff37a88dacada8,ML-DSA-65,7405,34,2604,4412,0.0052879995564580895,0.21284900003593066,1,0.0,0.0,34788
1779643432.8189554,emisor@localhost/Lk3_ZuTqqdjC,49949a1321c74320ad0043c7eea05340,ML-DSA-65,7405,34,2604,4412,0.005378000423661433,0.18493199968361296,1,0.0,0.0,34788
1779643432.8842742,emisor@localhost/Lk3_ZuTqqdjC,49705e13b0144efa896cd336f35cef05,ML-DSA-65,7405,34,2604,4412,0.005018000138079515,0.17655100009505986,1,0.0,0.0,34788
1779643432.9458368,emisor@localhost/Lk3_ZuTqqdjC,f5627c506aa64051997cad2556cfb5cd,ML-DSA-65,7405,34,2604,4412,0.004340000032243552,0.15313800031435676,1,0.0,0.0,34788
1779643433.0094812,emisor@localhost/Lk3_ZuTqqdjC,346f1d50919244d39fbc4b519f544599,ML-DSA-65,7405,34,2604,4412,0.005581000095844502,0.16130399990288424,1,0.0,0.0,34788
1779643433.0679545,emisor@localhost/Lk3_ZuTqqdjC,56cb134ba19c415c94ebe245610a7ccc,ML-DSA-65,7405,34,2604,4412,0.0034870004128606524,0.08994100016934681,1,0.0,0.0,34788
1779643433.12601,emisor@localhost/Lk3_ZuTqqdjC,a63213aa237444f48e79aec0fec21b28,ML-DSA-65,7405,34,2604,4412,0.002150999989680713,0.06441100003939937,1,0.0,0.0,34788
1779643433.1845276,emisor@localhost/Lk3_ZuTqqdjC,3a83a3ff0efc47c39ba7020ab719a6cb,ML-DSA-65,7405,34,2604,4412,0.0024139999368344434,0.0676099998599966,1,0.0,0.0,34788
1779643433.242904,emisor@localhost/Lk3_ZuTqqdjC,83a3fa1cefcf4229a1c016c762a3f27a,ML-DSA-65,7405,34,2604,4412,0.0026560001060715877,0.07014899983914802,1,0.0,0.0,34788
1779643433.3042107,emisor@localhost/Lk3_ZuTqqdjC,08eacb11ed4b4149977c95c2070564e4,ML-DSA-65,7405,34,2604,4412,0.0056740000218269415,0.16031599989219103,1,0.0,0.0,34788
1779643433.3706799,emisor@localhost/Lk3_ZuTqqdjC,fffc75b35bee4273b3c5e595878497d3,ML-DSA-65,7405,34,2604,4412,0.005561999842029763,0.22658599982605665,1,0.0,0.0,34788
