ts_unix,alg_family,alg_name,alg_type,iteration,keygen_time_ms,encaps_time_ms,decaps_time_ms,pk_bytes,ct_bytes,shared_secret_match
1779643523.2145355,ECDH,ECDH-P256,classical,1,0.084753000010096,0.15215400026136194,0.06501100006062188,65,65,1
1779643523.2147262,ECDH,ECDH-P256,classical,2,0.022962999992159894,0.07821300005161902,0.06320500006040675,65,65,1
1779643523.2149017,ECDH,ECDH-P256,classical,3,0.014814999758527847,0.0763880002523365,0.06496800006061676,65,65,1
1779643523.2150764,ECDH,ECDH-P256,classical,4,0.014491999991150806,0.07904899985078373,0.0631150001026981,65,65,1
1779643523.215247,ECDH,ECDH-P256,classical,5,0.014270000065152999,0.07617699975526193,0.06363400007103337,65,65,1
1779643523.2154164,ECDH,ECDH-P256,classical,6,0.013869000213162508,0.07614200012540095,0.06282200001805904,65,65,1
1779643523.2155843,ECDH,ECDH-P256,classical,7,0.01366199967378634,0.07544499976575025,0.06229600012375158,65,65,1
1779643523.2157688,ECDH,ECDH-P256,classical,8,0.013544000012188917,0.08728800003154902,0.06601800032512983,65,65,1
1779643523.2159452,ECDH,ECDH-P256,classical,9,0.016987999970297096,0.07682399973418796,0.063052000314201,65,65,1
1779643523.2161138,ECDH,ECDH-P256,classical,10,0.013576000128523447,0.0754600000618666,0.06329600000753999,65,65,1
1779643523.216319,ECDH,ECDH-P256,classical,11,0.01994300009755534,0.07831799985069665,0.062494000303559005,65,65,1
1779643523.216491,ECDH,ECDH-P256,classical,12,0.014216000181477284,0.07554500007245224,0.06267399976422894,65,65,1
1779643523.21666,ECDH,ECDH-P256,classical,13,0.013620000117953168,0.07578400027341559,0.06306699970082263,65,65,1
1779643523.2168388,ECDH,ECDH-P256,classical,14,0.013395000223681564,0.0823490004222549,0.06539500009239418,65,65,1
1779643523.2170124,ECDH,ECDH-P256,classical,15,0.015987000097084092,0.0755259998186375,0.0635060000604426,65,65,1
1779643523.2171855,ECDH,ECDH-P256,classical,16,0.014147999991109828,0.07739199963907595,0.06439599974328303,65,65,1
1779643523.217356,ECDH,ECDH-P256,classical,17,0.015877000350883463,0.07548900020992733,0.06278599994402612,65,65,1
1779643523.217525,ECDH,ECDH-P256,classical,18,0.014188000022841152,0.07604100028402172,0.06265899992285995,65,65,1
1779643523.2177067,ECDH,ECDH-P256,classical,19,0.015776000054756878,0.07703600022068713,0.07151399995564134,65,65,1
1779643523.2178888,ECDH,ECDH-P256,classical,20,0.019202999737899518,0.07905899974502972,0.06352099990181159,65,65,1
1779643523.2180905,ECDH,ECDH-P256,classical,21,0.02034699991781963,0.07937700002003112,0.06316700000752462,65,65,1
1779643523.2182636,ECDH,ECDH-P256,classical,22,0.014952999663364608,0.076774000262958,0.06238100013433723,65,65,1
1779643523.2184331,ECDH,ECDH-P256,classical,23,0.015066999822010985,0.07554000012532924,0.06263500017666956,65,65,1
1779643523.2186038,ECDH,ECDH-P256,classical,24,0.015876999896136113,0.07625999978699838,0.06224100025065127,65,65,1
1779643523.2187736,ECDH,ECDH-P256,classical,25,0.01509100002294872,0.07604000029459712,0.06241100027182256,65,65,1
1779643523.2189426,ECDH,ECDH-P256,classical,26,0.01470200004405342,0.07574600022053346,0.06267699973250274,65,65,1
1779643523.219112,ECDH,ECDH-P256,classical,27,0.015280999832611997,0.07570200023110374,0.062045000049693044,65,65,1
1779643523.2192805,ECDH,ECDH-P256,classical,28,0.014374000329553382,0.0754620000407158,0.06228600022950559,65,65,1
