ts_unix,from,msg_id,alg,stanza_bytes,body_bytes,pk_b64_bytes,sig_b64_bytes,verify_time_ms,verify_ok
1770222581.1861434,emisor@localhost/f5rfdCvYqZ-d,49f5641b90df47d2b0c3980d2803f00c,ML-DSA-65,7404,33,2604,4412,0.13140000010025688,1
1770222581.2394314,emisor@localhost/f5rfdCvYqZ-d,47f986a34e4644c88295cc1ad8a88f2d,ML-DSA-65,7404,33,2604,4412,0.07325199999286269,1
1770222581.2931335,emisor@localhost/f5rfdCvYqZ-d,c8eba23db22549fa8daf6b5a1241adcc,ML-DSA-65,7404,33,2604,4412,0.08605100015302014,1
1770222581.3463302,emisor@localhost/f5rfdCvYqZ-d,4b9c25c4a106444a91d8ac1174abeb1b,ML-DSA-65,7404,33,2604,4412,0.06967100011934235,1
1770222581.40048,emisor@localhost/f5rfdCvYqZ-d,db53e108200f4b379e5b472f941a5f22,ML-DSA-65,7404,33,2604,4412,0.08362699986719235,1
1770222581.4538069,emisor@localhost/f5rfdCvYqZ-d,89e73e15c46a45c7b5e4735a65c7ad96,ML-DSA-65,7404,33,2604,4412,0.07876099994064134,1
1770222581.50794,emisor@localhost/f5rfdCvYqZ-d,e76d4f40caad41bca95607fec3708803,ML-DSA-65,7404,33,2604,4412,0.08012600005713466,1
1770222581.5613508,emisor@localhost/f5rfdCvYqZ-d,dcb9456662a541a4b697f5b461466c30,ML-DSA-65,7404,33,2604,4412,0.10113400003319839,1
1770222581.6153152,emisor@localhost/f5rfdCvYqZ-d,9ef572a28e854891bb04210a538bdf17,ML-DSA-65,7404,33,2604,4412,0.06836599982307234,1
1770222581.668303,emisor@localhost/f5rfdCvYqZ-d,d759fa28acb9404dafadaf6dfad7e914,ML-DSA-65,7405,34,2604,4412,0.09027400005834352,1
1770222581.7217956,emisor@localhost/f5rfdCvYqZ-d,391c541d3161445fae2cfda10bbf46a9,ML-DSA-65,7405,34,2604,4412,0.06529000006594288,1
1770222581.7754614,emisor@localhost/f5rfdCvYqZ-d,a52050f75a3f4dceb33c51af8663000f,ML-DSA-65,7405,34,2604,4412,0.06585400001313246,1
1770222581.8282964,emisor@localhost/f5rfdCvYqZ-d,71f1eb789b994cdb98a477ad0d910de2,ML-DSA-65,7405,34,2604,4412,0.06773299992346438,1
1770222581.8819861,emisor@localhost/f5rfdCvYqZ-d,0e7aec9038a94cd586cdcdc823772695,ML-DSA-65,7405,34,2604,4412,0.07256999992932833,1
1770222581.9347377,emisor@localhost/f5rfdCvYqZ-d,d204d7f5b7d846358538a9aa3485dc17,ML-DSA-65,7405,34,2604,4412,0.07607100019413338,1
1770222581.9886048,emisor@localhost/f5rfdCvYqZ-d,dd0b95b10a994c52be322c87bc55be11,ML-DSA-65,7405,34,2604,4412,0.06770300001335272,1
1770222582.041589,emisor@localhost/f5rfdCvYqZ-d,81bedc432d264aa3a93024d4ae186a08,ML-DSA-65,7405,34,2604,4412,0.0664960000449355,1
1770222582.0951452,emisor@localhost/f5rfdCvYqZ-d,1f92388cb6c14bafbf9eabe766dd73cd,ML-DSA-65,7405,34,2604,4412,0.07069000002957182,1
1770222582.1478825,emisor@localhost/f5rfdCvYqZ-d,81f7a3e7bc214d57a9ce6c6abd230125,ML-DSA-65,7405,34,2604,4412,0.0679310001032718,1
1770222582.2016315,emisor@localhost/f5rfdCvYqZ-d,a4113f6b083c429bb91982c697a1c09e,ML-DSA-65,7405,34,2604,4412,0.07357799995588721,1
1770222582.2545483,emisor@localhost/f5rfdCvYqZ-d,78761225550443f2b56c8d6f0ed07f04,ML-DSA-65,7405,34,2604,4412,0.07071899995025888,1
1770222582.3084264,emisor@localhost/f5rfdCvYqZ-d,2abcc70a422e4373a3ae162de2db9d3e,ML-DSA-65,7405,34,2604,4412,0.0734789998659835,1
1770222582.3611584,emisor@localhost/f5rfdCvYqZ-d,77efbb5a31f541c4b0e3fff0eea5ea43,ML-DSA-65,7405,34,2604,4412,0.06973099993956566,1
1770222582.4165554,emisor@localhost/f5rfdCvYqZ-d,7d66b85024614574a4a79db5a4260580,ML-DSA-65,7405,34,2604,4412,0.1256929999726708,1
1770222582.4703224,emisor@localhost/f5rfdCvYqZ-d,5cf696cb6ced4d558618efd514dd1cc2,ML-DSA-65,7405,34,2604,4412,0.06442900007641583,1
1770222582.5240653,emisor@localhost/f5rfdCvYqZ-d,2f9548b682ec47928268b2a9a6d19e1d,ML-DSA-65,7405,34,2604,4412,0.06619999999202264,1
1770222582.5770543,emisor@localhost/f5rfdCvYqZ-d,1f0872c6a9814a63bfbfda0671ff8d4c,ML-DSA-65,7405,34,2604,4412,0.06853400009276811,1
1770222582.630852,emisor@localhost/f5rfdCvYqZ-d,cf28e64e016247419de0676665452671,ML-DSA-65,7405,34,2604,4412,0.06824699994467665,1
1770222582.684424,emisor@localhost/f5rfdCvYqZ-d,58d4c68eca824bd190c4a9dcc6aa46a1,ML-DSA-65,7405,34,2604,4412,0.08069000000432425,1
1770222582.7390988,emisor@localhost/f5rfdCvYqZ-d,73045621f7894ee4829adf2b872f02d2,ML-DSA-65,7405,34,2604,4412,0.07813800016265304,1
1770222582.792479,emisor@localhost/f5rfdCvYqZ-d,a886051095a54f6984c1f0282ae134aa,ML-DSA-65,7405,34,2604,4412,0.06653600007666682,1
1770222582.8462062,emisor@localhost/f5rfdCvYqZ-d,65426137c4254824aa873df450692e6e,ML-DSA-65,7405,34,2604,4412,0.07301400000869762,1
1770222582.899322,emisor@localhost/f5rfdCvYqZ-d,0d336b36f73a4fdd9bd8e33185240259,ML-DSA-65,7405,34,2604,4412,0.06893900012983067,1
1770222582.9548912,emisor@localhost/f5rfdCvYqZ-d,0cdff4c72b084bca886ad782d354a7bc,ML-DSA-65,7405,34,2604,4412,0.1162479998129129,1
1770222583.008759,emisor@localhost/f5rfdCvYqZ-d,e273f820a8d04502b24c289845fee688,ML-DSA-65,7405,34,2604,4412,0.10648499983290094,1
1770222583.0628238,emisor@localhost/f5rfdCvYqZ-d,934095b8650047a3bf5e2f51b9368fa2,ML-DSA-65,7405,34,2604,4412,0.06728700009261956,1
1770222583.1156564,emisor@localhost/f5rfdCvYqZ-d,d5ca776c18f546b88608edd476e3151e,ML-DSA-65,7405,34,2604,4412,0.06652599995504715,1
1770222583.169671,emisor@localhost/f5rfdCvYqZ-d,fa7f28b097d946788c36618a7b1004f9,ML-DSA-65,7405,34,2604,4412,0.15049900002850336,1
1770222583.2229712,emisor@localhost/f5rfdCvYqZ-d,686b539f4eac4fba9cc4b0c2eaba3e59,ML-DSA-65,7405,34,2604,4412,0.07984900003066286,1
1770222583.277038,emisor@localhost/f5rfdCvYqZ-d,d9441862f7934eb784eb0d425bca7191,ML-DSA-65,7405,34,2604,4412,0.0763479999932315,1
1770222583.330085,emisor@localhost/f5rfdCvYqZ-d,0697955fb03a47e1aeaac5c60d282618,ML-DSA-65,7405,34,2604,4412,0.06679299985989928,1
1770222583.3843057,emisor@localhost/f5rfdCvYqZ-d,8c25249284b847238413b401d63cd5a8,ML-DSA-65,7405,34,2604,4412,0.09222199992109381,1
